id,pharmacy_id,medicine_id,year,week,total_dispensed,avg_daily,days_recorded,shortage_risk
421,1,30,2024,50,116,58.0,2,medium
422,1,26,2024,50,56,56.0,1,low
423,1,4,2024,50,77,38.5,2,low
424,1,49,2024,50,232,232.0,1,high
425,1,71,2024,50,52,52.0,1,low
426,1,28,2024,51,284,40.57,7,high
427,1,4,2024,51,176,44.0,4,medium
428,1,15,2024,51,172,43.0,4,medium
429,1,6,2024,51,80,40.0,2,low
430,1,55,2024,51,70,35.0,2,low
431,1,19,2024,51,56,56.0,1,low
432,1,101,2024,51,105,52.5,2,medium
433,1,113,2024,51,206,51.5,4,high
434,1,45,2024,51,260,43.33,6,high
435,1,106,2024,51,162,40.5,4,medium
436,1,114,2024,51,95,47.5,2,medium
437,1,58,2024,51,85,85.0,1,medium
438,1,64,2024,51,160,40.0,4,medium
439,1,3,2024,51,40,40.0,1,low
440,1,108,2024,51,127,42.33,3,medium
441,1,16,2024,51,98,49.0,2,medium
442,1,102,2024,51,169,42.25,4,medium
443,1,32,2024,51,117,39.0,3,medium
444,1,75,2024,51,146,48.67,3,medium
445,1,72,2024,51,244,40.67,6,high
446,1,112,2024,51,153,38.25,4,medium
447,1,38,2024,51,122,40.67,3,medium
448,1,11,2024,51,70,35.0,2,low
449,1,70,2024,51,140,46.67,3,medium
450,1,25,2024,51,92,46.0,2,medium
451,1,56,2024,51,222,44.4,5,high
452,1,1,2024,51,1605,535.0,3,high
453,1,29,2024,51,151,50.33,3,medium
454,1,44,2024,51,171,42.75,4,medium
455,1,7,2024,51,93,46.5,2,medium
456,1,60,2024,51,164,82.0,2,medium
457,1,99,2024,51,41,41.0,1,low
458,1,57,2024,51,288,288.0,1,high
459,1,5,2024,51,120,40.0,3,medium
460,1,41,2024,51,90,45.0,2,medium
461,1,95,2024,51,103,51.5,2,medium
462,1,119,2024,51,207,41.4,5,high
463,1,24,2024,51,90,45.0,2,medium
464,1,34,2024,51,85,42.5,2,medium
465,1,46,2024,51,124,41.33,3,medium
466,1,43,2024,51,131,43.67,3,medium
467,1,37,2024,51,68,34.0,2,low
468,1,76,2024,51,161,53.67,3,medium
469,1,120,2024,51,55,55.0,1,low
470,1,14,2024,51,186,37.2,5,medium
471,1,103,2024,51,219,43.8,5,high
472,1,21,2024,51,55,55.0,1,low
473,1,104,2024,51,177,44.25,4,medium
474,1,71,2024,51,51,51.0,1,low
475,1,88,2024,51,81,40.5,2,medium
476,1,118,2024,51,138,46.0,3,medium
477,1,47,2024,51,271,45.17,6,high
478,1,74,2024,51,34,34.0,1,low
479,1,20,2024,51,188,47.0,4,medium
480,1,107,2024,51,97,48.5,2,medium
481,1,90,2024,51,216,54.0,4,high
482,1,30,2024,51,78,39.0,2,low
483,1,26,2024,51,46,46.0,1,low
484,1,50,2024,51,90,45.0,2,medium
485,1,69,2024,51,108,54.0,2,medium
486,1,18,2024,51,127,42.33,3,medium
487,1,59,2024,51,80,40.0,2,low
488,1,23,2024,51,105,52.5,2,medium
489,1,83,2024,51,35,35.0,1,low
490,1,54,2024,51,40,40.0,1,low
491,1,13,2024,51,273,273.0,1,high
492,1,49,2024,51,439,219.5,2,high
493,1,117,2024,51,45,45.0,1,low
494,1,12,2024,51,51,51.0,1,low
495,1,84,2024,51,52,52.0,1,low
496,1,87,2024,51,78,39.0,2,low
497,1,115,2024,51,60,60.0,1,low
498,1,109,2024,51,33,33.0,1,low
499,1,65,2024,51,46,46.0,1,low
500,1,88,2024,52,100,50.0,2,medium
501,1,13,2024,52,192,192.0,1,medium
502,1,101,2024,52,218,54.5,4,high
503,1,107,2024,52,75,37.5,2,low
504,1,55,2024,52,100,33.33,3,medium
505,1,47,2024,52,79,39.5,2,low
506,1,56,2024,52,56,56.0,1,low
507,1,112,2024,52,221,55.25,4,high
508,1,37,2024,52,122,40.67,3,medium
509,1,72,2024,52,123,41.0,3,medium
510,1,64,2024,52,102,51.0,2,medium
511,1,59,2024,52,148,37.0,4,medium
512,1,4,2024,52,233,46.6,5,high
513,1,75,2024,52,122,40.67,3,medium
514,1,74,2024,52,57,57.0,1,low
515,1,119,2024,52,209,41.8,5,high
516,1,65,2024,52,123,41.0,3,medium
517,1,15,2024,52,89,44.5,2,medium
518,1,78,2024,52,152,38.0,4,medium
519,1,5,2024,52,181,45.25,4,medium
520,1,12,2024,52,41,41.0,1,low
521,1,50,2024,52,152,38.0,4,medium
522,1,45,2024,52,154,51.33,3,medium
523,1,113,2024,52,103,51.5,2,medium
524,1,41,2024,52,102,51.0,2,medium
525,1,34,2024,52,79,39.5,2,low
526,1,103,2024,52,109,54.5,2,medium
527,1,7,2024,52,176,44.0,4,medium
528,1,90,2024,52,114,38.0,3,medium
529,1,99,2024,52,58,58.0,1,low
530,1,66,2024,52,132,44.0,3,medium
531,1,19,2024,52,84,42.0,2,medium
532,1,18,2024,52,189,47.25,4,medium
533,1,108,2024,52,221,44.2,5,high
534,1,114,2024,52,37,37.0,1,low
535,1,118,2024,52,38,38.0,1,low
536,1,21,2024,52,78,39.0,2,low
537,1,24,2024,52,87,43.5,2,medium
538,1,109,2024,52,132,44.0,3,medium
539,1,76,2024,52,37,37.0,1,low
540,1,29,2024,52,107,53.5,2,medium
541,1,92,2024,52,29,29.0,1,low
542,1,49,2024,52,205,205.0,1,high
543,1,54,2024,52,57,57.0,1,low
544,1,95,2024,52,51,51.0,1,low
545,1,70,2024,52,78,39.0,2,low
546,1,105,2024,52,41,41.0,1,low
547,1,58,2024,52,99,99.0,1,medium
548,1,6,2024,52,38,38.0,1,low
549,1,30,2024,52,71,35.5,2,low
550,1,111,2024,52,149,49.67,3,medium
551,1,38,2024,52,120,40.0,3,medium
552,1,20,2024,52,91,45.5,2,medium
553,1,60,2024,52,95,95.0,1,medium
554,1,115,2024,52,82,41.0,2,medium
555,1,23,2024,52,57,57.0,1,low
556,1,117,2024,52,94,47.0,2,medium
557,1,106,2024,52,99,49.5,2,medium
558,1,46,2024,52,49,49.0,1,low
559,1,57,2024,52,339,339.0,1,high
560,1,1,2024,52,423,423.0,1,high
561,1,28,2024,52,40,40.0,1,low
562,1,25,2024,52,46,46.0,1,low
563,1,36,2024,52,319,319.0,1,high
564,1,120,2024,52,56,56.0,1,low
565,1,45,2025,1,130,43.33,3,medium
566,1,70,2025,1,157,52.33,3,medium
567,1,21,2025,1,136,45.33,3,medium
568,1,46,2025,1,189,47.25,4,medium
569,1,104,2025,1,135,45.0,3,medium
570,1,75,2025,1,92,46.0,2,medium
571,1,18,2025,1,82,41.0,2,medium
572,1,65,2025,1,98,49.0,2,medium
573,1,57,2025,1,323,323.0,1,high
574,1,28,2025,1,127,42.33,3,medium
575,1,74,2025,1,87,43.5,2,medium
576,1,38,2025,1,153,51.0,3,medium
577,1,16,2025,1,127,42.33,3,medium
578,1,15,2025,1,113,37.67,3,medium
579,1,29,2025,1,56,56.0,1,low
580,1,30,2025,1,142,47.33,3,medium
581,1,36,2025,1,1035,345.0,3,high
582,1,83,2025,1,47,47.0,1,low
583,1,32,2025,1,148,37.0,4,medium
584,1,3,2025,1,119,39.67,3,medium
585,1,119,2025,1,32,32.0,1,low
586,1,102,2025,1,93,46.5,2,medium
587,1,5,2025,1,144,48.0,3,medium
588,1,111,2025,1,74,37.0,2,low
589,1,59,2025,1,74,37.0,2,low
590,1,120,2025,1,150,50.0,3,medium
591,1,92,2025,1,67,33.5,2,low
592,1,60,2025,1,451,90.2,5,high
593,1,71,2025,1,98,49.0,2,medium
594,1,58,2025,1,332,83.0,4,high
595,1,56,2025,1,76,38.0,2,low
596,1,115,2025,1,34,34.0,1,low
597,1,47,2025,1,74,37.0,2,low
598,1,26,2025,1,57,57.0,1,low
599,1,99,2025,1,85,42.5,2,medium
600,1,13,2025,1,561,187.0,3,high
601,1,11,2025,1,139,46.33,3,medium
602,1,49,2025,1,598,199.33,3,high
603,1,114,2025,1,98,49.0,2,medium
604,1,19,2025,1,89,44.5,2,medium
605,1,50,2025,1,52,52.0,1,low
606,1,34,2025,1,69,34.5,2,low
607,1,43,2025,1,72,36.0,2,low
608,1,12,2025,1,79,39.5,2,low
609,1,109,2025,1,232,46.4,5,high
610,1,101,2025,1,82,41.0,2,medium
611,1,7,2025,1,88,44.0,2,medium
612,1,117,2025,1,89,44.5,2,medium
613,1,90,2025,1,204,51.0,4,high
614,1,95,2025,1,50,50.0,1,low
615,1,44,2025,1,37,37.0,1,low
616,1,69,2025,1,83,41.5,2,medium
617,1,6,2025,1,154,51.33,3,medium
618,1,54,2025,1,89,44.5,2,medium
619,1,4,2025,1,113,56.5,2,medium
620,1,106,2025,1,91,45.5,2,medium
621,1,24,2025,1,259,51.8,5,high
622,1,87,2025,1,185,46.25,4,medium
623,1,112,2025,1,123,41.0,3,medium
624,1,41,2025,1,103,51.5,2,medium
625,1,118,2025,1,42,42.0,1,low
626,1,108,2025,1,79,39.5,2,low
627,1,105,2025,1,74,37.0,2,low
628,1,72,2025,1,36,36.0,1,low
629,1,88,2025,1,75,37.5,2,low
630,1,64,2025,1,74,37.0,2,low
631,1,1,2025,1,585,585.0,1,high
632,1,25,2025,1,50,50.0,1,low
633,1,37,2025,1,33,33.0,1,low
634,1,3,2025,2,53,53.0,1,low
635,1,83,2025,2,237,47.4,5,high
636,1,49,2025,2,147,147.0,1,medium
637,1,45,2025,2,138,46.0,3,medium
638,1,119,2025,2,126,42.0,3,medium
639,1,32,2025,2,128,42.67,3,medium
640,1,111,2025,2,79,39.5,2,low
641,1,28,2025,2,477,47.7,10,high
642,1,41,2025,2,87,43.5,2,medium
643,1,76,2025,2,172,43.0,4,medium
644,1,84,2025,2,84,42.0,2,medium
645,1,112,2025,2,177,44.25,4,medium
