id,pharmacy_id,medicine_id,quantity_dispensed,transaction_date,is_outbreak_signal,event_name
52,20,49,165,2024-07-10,True,Diarrhea_Bole_Jul2024
53,20,49,174,2024-07-11,True,Diarrhea_Bole_Jul2024
54,20,49,144,2024-07-12,True,Diarrhea_Bole_Jul2024
55,20,49,82,2024-07-13,True,Diarrhea_Bole_Jul2024
56,20,49,180,2024-07-14,True,Diarrhea_Bole_Jul2024
57,1,57,85,2025-01-10,True,Respiratory_Citywide_Jan2025
58,1,57,90,2025-01-11,True,Respiratory_Citywide_Jan2025
59,1,57,79,2025-01-12,True,Respiratory_Citywide_Jan2025
60,1,57,83,2025-01-13,True,Respiratory_Citywide_Jan2025
61,1,57,76,2025-01-14,True,Respiratory_Citywide_Jan2025
62,1,57,82,2025-01-15,True,Respiratory_Citywide_Jan2025
63,1,57,89,2025-01-16,True,Respiratory_Citywide_Jan2025
64,1,57,84,2025-01-17,True,Respiratory_Citywide_Jan2025
65,1,57,78,2025-01-18,True,Respiratory_Citywide_Jan2025
66,1,57,45,2025-01-19,True,Respiratory_Citywide_Jan2025
67,2,57,72,2025-01-10,True,Respiratory_Citywide_Jan2025
68,2,57,51,2025-01-11,True,Respiratory_Citywide_Jan2025
69,2,57,65,2025-01-12,True,Respiratory_Citywide_Jan2025
70,2,57,43,2025-01-13,True,Respiratory_Citywide_Jan2025
71,2,57,53,2025-01-14,True,Respiratory_Citywide_Jan2025
72,2,57,81,2025-01-15,True,Respiratory_Citywide_Jan2025
73,2,57,68,2025-01-16,True,Respiratory_Citywide_Jan2025
74,2,57,57,2025-01-17,True,Respiratory_Citywide_Jan2025
75,2,57,90,2025-01-18,True,Respiratory_Citywide_Jan2025
76,2,57,58,2025-01-19,True,Respiratory_Citywide_Jan2025
77,3,57,57,2025-01-10,True,Respiratory_Citywide_Jan2025
78,3,57,54,2025-01-11,True,Respiratory_Citywide_Jan2025
79,3,57,42,2025-01-12,True,Respiratory_Citywide_Jan2025
80,3,57,44,2025-01-13,True,Respiratory_Citywide_Jan2025
81,3,57,79,2025-01-14,True,Respiratory_Citywide_Jan2025
82,3,57,72,2025-01-15,True,Respiratory_Citywide_Jan2025
83,3,57,51,2025-01-16,True,Respiratory_Citywide_Jan2025
84,3,57,89,2025-01-17,True,Respiratory_Citywide_Jan2025
85,3,57,90,2025-01-18,True,Respiratory_Citywide_Jan2025
86,3,57,80,2025-01-19,True,Respiratory_Citywide_Jan2025
87,8,57,75,2025-01-10,True,Respiratory_Citywide_Jan2025
88,8,57,73,2025-01-11,True,Respiratory_Citywide_Jan2025
89,8,57,60,2025-01-12,True,Respiratory_Citywide_Jan2025
90,8,57,82,2025-01-13,True,Respiratory_Citywide_Jan2025
91,8,57,48,2025-01-14,True,Respiratory_Citywide_Jan2025
92,8,57,41,2025-01-15,True,Respiratory_Citywide_Jan2025
93,8,57,42,2025-01-16,True,Respiratory_Citywide_Jan2025
94,8,57,75,2025-01-17,True,Respiratory_Citywide_Jan2025
95,8,57,70,2025-01-18,True,Respiratory_Citywide_Jan2025
96,8,57,77,2025-01-19,True,Respiratory_Citywide_Jan2025
97,15,57,63,2025-01-10,True,Respiratory_Citywide_Jan2025
98,15,57,50,2025-01-11,True,Respiratory_Citywide_Jan2025
99,15,57,59,2025-01-12,True,Respiratory_Citywide_Jan2025
100,15,57,52,2025-01-13,True,Respiratory_Citywide_Jan2025
101,15,57,75,2025-01-14,True,Respiratory_Citywide_Jan2025
102,15,57,62,2025-01-15,True,Respiratory_Citywide_Jan2025
103,15,57,60,2025-01-16,True,Respiratory_Citywide_Jan2025
104,15,57,76,2025-01-17,True,Respiratory_Citywide_Jan2025
105,15,57,79,2025-01-18,True,Respiratory_Citywide_Jan2025
106,15,57,88,2025-01-19,True,Respiratory_Citywide_Jan2025
107,2,23,107,2024-10-05,True,Malaria_Oct2024
108,2,23,96,2024-10-06,True,Malaria_Oct2024
109,2,23,77,2024-10-07,True,Malaria_Oct2024
110,2,23,90,2024-10-08,True,Malaria_Oct2024
111,2,23,64,2024-10-09,True,Malaria_Oct2024
112,2,23,128,2024-10-10,True,Malaria_Oct2024
113,2,23,60,2024-10-11,True,Malaria_Oct2024
114,2,23,128,2024-10-12,True,Malaria_Oct2024
115,2,23,82,2024-10-13,True,Malaria_Oct2024
116,2,23,71,2024-10-14,True,Malaria_Oct2024
117,2,23,75,2024-10-15,True,Malaria_Oct2024
118,2,23,83,2024-10-16,True,Malaria_Oct2024
119,2,23,140,2024-10-17,True,Malaria_Oct2024
120,2,23,135,2024-10-18,True,Malaria_Oct2024
121,2,23,135,2024-10-19,True,Malaria_Oct2024
122,2,23,130,2024-10-20,True,Malaria_Oct2024
123,2,23,74,2024-10-21,True,Malaria_Oct2024
124,2,23,135,2024-10-22,True,Malaria_Oct2024
125,2,23,96,2024-10-23,True,Malaria_Oct2024
126,2,23,69,2024-10-24,True,Malaria_Oct2024
127,2,23,65,2024-10-25,True,Malaria_Oct2024
128,7,23,63,2024-10-05,True,Malaria_Oct2024
129,7,23,108,2024-10-06,True,Malaria_Oct2024
130,7,23,71,2024-10-07,True,Malaria_Oct2024
131,7,23,84,2024-10-08,True,Malaria_Oct2024
132,7,23,70,2024-10-09,True,Malaria_Oct2024
133,7,23,118,2024-10-10,True,Malaria_Oct2024
134,7,23,87,2024-10-11,True,Malaria_Oct2024
135,7,23,70,2024-10-12,True,Malaria_Oct2024
136,7,23,131,2024-10-13,True,Malaria_Oct2024
137,7,23,62,2024-10-14,True,Malaria_Oct2024
138,7,23,123,2024-10-15,True,Malaria_Oct2024
139,7,23,96,2024-10-16,True,Malaria_Oct2024
140,7,23,83,2024-10-17,True,Malaria_Oct2024
141,7,23,64,2024-10-18,True,Malaria_Oct2024
142,7,23,123,2024-10-19,True,Malaria_Oct2024
143,7,23,137,2024-10-20,True,Malaria_Oct2024
144,7,23,119,2024-10-21,True,Malaria_Oct2024
145,7,23,138,2024-10-22,True,Malaria_Oct2024
146,7,23,123,2024-10-23,True,Malaria_Oct2024
147,7,23,108,2024-10-24,True,Malaria_Oct2024
148,7,23,83,2024-10-25,True,Malaria_Oct2024
149,15,23,102,2024-10-05,True,Malaria_Oct2024
150,15,23,67,2024-10-06,True,Malaria_Oct2024
151,15,23,110,2024-10-07,True,Malaria_Oct2024
152,15,23,71,2024-10-08,True,Malaria_Oct2024
153,15,23,133,2024-10-09,True,Malaria_Oct2024
154,15,23,139,2024-10-10,True,Malaria_Oct2024
155,15,23,104,2024-10-11,True,Malaria_Oct2024
156,15,23,71,2024-10-12,True,Malaria_Oct2024
157,15,23,92,2024-10-13,True,Malaria_Oct2024
158,15,23,68,2024-10-14,True,Malaria_Oct2024
159,15,23,87,2024-10-15,True,Malaria_Oct2024
160,15,23,102,2024-10-16,True,Malaria_Oct2024
161,15,23,136,2024-10-17,True,Malaria_Oct2024
162,15,23,69,2024-10-18,True,Malaria_Oct2024
163,15,23,63,2024-10-19,True,Malaria_Oct2024
164,15,23,77,2024-10-20,True,Malaria_Oct2024
165,15,23,83,2024-10-21,True,Malaria_Oct2024
166,15,23,93,2024-10-22,True,Malaria_Oct2024
167,15,23,69,2024-10-23,True,Malaria_Oct2024
168,15,23,67,2024-10-24,True,Malaria_Oct2024
169,15,23,83,2024-10-25,True,Malaria_Oct2024
170,21,23,126,2024-10-05,True,Malaria_Oct2024
171,21,23,72,2024-10-06,True,Malaria_Oct2024
172,21,23,107,2024-10-07,True,Malaria_Oct2024
173,21,23,61,2024-10-08,True,Malaria_Oct2024
174,21,23,73,2024-10-09,True,Malaria_Oct2024
175,21,23,104,2024-10-10,True,Malaria_Oct2024
176,21,23,123,2024-10-11,True,Malaria_Oct2024
177,21,23,122,2024-10-12,True,Malaria_Oct2024
178,21,23,127,2024-10-13,True,Malaria_Oct2024
179,21,23,114,2024-10-14,True,Malaria_Oct2024
180,21,23,97,2024-10-15,True,Malaria_Oct2024
181,21,23,75,2024-10-16,True,Malaria_Oct2024
182,21,23,63,2024-10-17,True,Malaria_Oct2024
183,21,23,69,2024-10-18,True,Malaria_Oct2024
184,21,23,138,2024-10-19,True,Malaria_Oct2024
185,21,23,105,2024-10-20,True,Malaria_Oct2024
186,21,23,138,2024-10-21,True,Malaria_Oct2024
187,21,23,71,2024-10-22,True,Malaria_Oct2024
188,21,23,79,2024-10-23,True,Malaria_Oct2024
189,21,23,60,2024-10-24,True,Malaria_Oct2024
190,21,23,96,2024-10-25,True,Malaria_Oct2024
